no,Condition,ConditionSession,Trial,color of s1,color of s2,color of s3,color of s4,color of s5,color of s6,color of s7,color of s8,color of tg1,color of tg2,color of tg3,color of tg4,color of tg5,color of tg6,color of tg7,color of tg8,location 1,location 2,location 3,location 4,location 5,location 6,location 7,location 8,"matching setting (1=yes, 0=no)","response key (1=R, 0=L)",Correct,Response Time,
2,2,21,15,1,1,3,3,4,4,5,7,1,1,3,3,4,4,5,7,3,7,19,2,4,1,20,14,1,1,1,0.879,
2,2,21,16,1,2,3,3,4,6,6,7,1,2,3,3,5,6,6,7,17,18,7,8,4,16,1,3,0,0,1,1.246,
2,2,21,17,2,3,3,4,4,5,6,7,1,3,3,4,4,5,6,7,11,8,15,14,20,7,12,9,0,0,1,0.712,
2,2,21,18,1,2,2,3,4,6,7,7,1,2,2,3,4,5,7,7,16,11,10,2,5,9,19,4,0,1,0,0.849,
2,2,21,19,1,1,2,3,3,4,5,7,1,1,2,3,3,4,5,7,4,12,18,1,17,6,7,5,1,1,1,0.967,
2,2,21,20,1,1,2,2,3,4,5,7,1,1,2,2,3,4,5,7,7,9,19,14,16,1,4,12,1,1,1,1.774,
2,2,21,21,1,1,2,4,5,6,6,7,1,1,2,4,5,6,6,7,2,13,15,5,7,9,16,4,1,1,1,1.348,
2,2,21,22,1,2,3,4,4,5,6,6,1,2,3,4,4,5,6,6,19,1,13,17,16,3,8,11,1,1,1,1.051,
2,2,21,23,1,1,2,3,4,6,6,7,1,1,2,3,4,6,6,7,3,8,16,17,11,6,5,15,1,1,1,0.992,
2,2,21,24,1,1,2,3,6,6,7,7,1,1,2,3,6,6,7,7,3,18,5,4,14,2,7,17,1,1,1,0.506,
2,2,21,25,1,2,3,5,5,6,6,7,1,4,3,5,5,6,6,7,13,15,9,18,16,8,10,20,0,1,0,0.425,
2,2,21,26,1,1,2,2,4,5,6,7,1,1,2,2,4,5,6,7,16,12,3,4,7,10,20,11,1,1,1,0.691,
2,2,21,27,2,2,3,4,5,6,7,7,2,2,3,4,6,6,7,7,17,9,3,8,16,2,14,18,0,0,1,1.124,
2,2,21,28,1,2,2,3,4,5,5,6,1,2,2,3,4,5,5,6,2,7,15,18,16,4,10,14,1,0,0,0.964,
2,2,21,29,1,2,2,3,5,6,7,7,1,1,2,3,5,6,7,7,15,1,7,11,18,4,13,14,0,1,0,0.795,
2,2,21,30,1,3,4,5,5,6,6,7,2,3,4,5,5,6,6,7,3,20,6,1,5,17,13,14,0,1,0,0.853,
2,2,21,31,1,3,4,5,5,6,7,7,1,3,4,1,5,6,7,7,8,4,17,13,11,16,6,2,0,1,0,0.923,
2,2,21,32,1,1,3,4,5,6,7,7,1,1,3,4,5,6,7,7,13,12,10,6,7,2,4,1,1,1,1,1.046,
2,2,21,33,1,2,2,3,4,5,5,6,1,2,2,3,4,5,5,6,20,18,8,17,1,5,3,9,1,1,1,0.612,
2,2,21,34,1,3,4,4,5,6,7,7,1,3,4,3,5,6,7,7,19,16,6,3,9,5,18,20,0,0,1,0.56,
2,2,21,35,1,2,2,3,5,5,7,7,1,2,2,4,5,5,7,7,9,12,3,19,14,16,2,7,0,1,0,0.489,
